light : RECORDING_DEVICES
Italy : LOCATION
Italy : LOCATION
Europe : LOCATION
Michael : PROJECT_MANAGER
one : CARDINAL
Pari : LOCATION
France : LOCATION
Italy : LOCATION
five : CARDINAL
extraordinary : SHAPE
sponge : SHAPE
two : CARDINAL
Paul's : INTERFACE_SPECIALIST
Square : SHAPE
one : CARDINAL
one : CARDINAL
one : CARDINAL
two : CARDINAL
square : SHAPE
 remote control : DRAWING
scroll-wheel : DRAWING
five : CARDINAL
product : DRAWING
one : CARDINAL
one : CARDINAL
square : SHAPE
round : SHAPE
square : SHAPE
one : CARDINAL
iPod : DRAWING
wheel : DRAWING
yellow : COLOUR
pen : MEANS_OF_WORKING
