Joe : OTHER
 three seconds : DURATION
presentation : MEANS_OF_WORKING
screen : DRAWING
icon : DRAWING
icon : DRAWING
buttons : DRAWING
button : DRAWING
icon : DRAWING
numbers : DRAWING
button : DRAWING
button : DRAWING
remote : DRAWING
L_C_D_ : DRAWING
remote : DRAWING
curvy : SHAPE
remote : DRAWING
microphone : DRAWING
button : DRAWING
one : CARDINAL
button : DRAWING
device : DRAWING
remote : DRAWING
 Grass green : COLOUR
sponge : MATERIALS
one : CARDINAL
Round : SHAPE
square : SHAPE
square : SHAPE
round : SHAPE
square : SHAPE
rubber : MATERIALS
rubber : MATERIALS
screen : DRAWING
screen : DRAWING
screen : DRAWING
two : CARDINAL
two : CARDINAL
rubber : MATERIALS
rubber : MATERIALS
rubber : MATERIALS
few : CARDINAL
buttons : DRAWING
buttons : DRAWING
plus : DRAWING
min : DRAWING
P_ : DRAWING
sound : DRAWING
minus : DRAWING
plus : DRAWING
minus : DRAWING
plus : DRAWING
plus : DRAWING
min : DRAWING
logo : DRAWING
button : DRAWING
scroll : DRAWING
scroll : DRAWING
scroll : DRAWING
five : CARDINAL
four : CARDINAL
black : COLOUR
black : COLOUR
Silver : COLOUR
Silver : COLOUR
rubber : MATERIALS
black : COLOUR
