Mark : INTERFACE_SPECIALIST
Rama : INDUSTRIAL_DESIGNER
double-curved : SHAPE
aluminium : MATERIALS
titanium : MATERIALS
Nokia : ORGANIZATION
two : CARDINAL
pink : COLOUR
pink : COLOUR
pink : COLOUR
Pink : COLOUR
white : COLOUR
white : COLOUR
White : COLOUR
Four : CARDINAL
slide : MEANS_OF_WORKING
slide : MEANS_OF_WORKING
three : CARDINAL
slide : MEANS_OF_WORKING
Paris : LOCATION
Milan : LOCATION
rubber : MATERIALS
rubber : MATERIALS
titanium : MATERIALS
rubber : MATERIALS
two : CARDINAL
one : CARDINAL
