fifties : DATE
curved : SHAPE
curved : SHAPE
plastic : MATERIALS
latex : MATERIALS
rubber : MATERIALS
wood : MATERIALS
titanium : MATERIALS
titanium : MATERIALS
curved : SHAPE
titanium : MATERIALS
latex : MATERIALS
rubber : MATERIALS
rubber : MATERIALS
curved : SHAPE
rubber : MATERIALS
rubber : MATERIALS
curved : SHAPE
rubber : MATERIALS
curved : SHAPE
curved : SHAPE
curve : SHAPE
rubber : MATERIALS
one : CARDINAL
curved : SHAPE
rubber : MATERIALS
rubber : MATERIALS
rubber : MATERIALS
curved : SHAPE
curved : SHAPE
curved : SHAPE
rubber : MATERIALS
slide : MEANS_OF_WORKING
five : CARDINAL
slide : MEANS_OF_WORKING
curved : SHAPE
curved : SHAPE
curved : SHAPE
rubber : MATERIALS
Apple : ORGANIZATION
